Customer_ID,Age,Gender,Location,Segment,Purchase_Amount,Purchase_Frequency,Product_Category,Satisfaction_Score,Loyalty_Years,Payment_Method
C1001,24,Female,Urban,New,350,1,Smartphones,4.2,0.3,Credit Card
C1002,32,Male,Urban,Regular,675,3,Laptops,4.5,1.8,PayPal
C1003,45,Female,Suburban,Premium,1240,5,Laptops,4.8,3.2,Credit Card
C1004,29,Male,Urban,Regular,520,2,Gaming,4.4,1.1,Credit Card
C1005,51,Female,Rural,Premium,980,4,Smart Home,4.7,4.5,Credit Card
C1006,38,Male,Suburban,Regular,720,3,Tablets,4.0,2.3,Debit Card
C1007,22,Female,Urban,New,280,1,Accessories,3.9,0.5,PayPal
C1008,60,Male,Rural,Premium,1350,4,Laptops,4.6,5.7,Credit Card
C1009,41,Female,Suburban,Regular,590,2,Smartphones,4.2,2.4,Credit Card
C1010,27,Male,Urban,New,320,1,Wearables,4.1,0.7,PayPal
C1011,36,Female,Suburban,Regular,780,3,Tablets,4.3,1.9,Credit Card
C1012,48,Male,Rural,Premium,1090,4,Smart Home,4.5,3.8,Credit Card
C1013,25,Female,Urban,New,310,1,Audio,3.8,0.4,Debit Card
C1014,55,Male,Suburban,Premium,1420,5,Laptops,4.7,4.6,Credit Card
C1015,33,Female,Urban,Regular,650,2,Smartphones,4.1,1.5,PayPal
C1016,42,Male,Suburban,Regular,820,3,Gaming,4.6,2.8,Credit Card
C1017,29,Female,Urban,New,340,1,Accessories,4.0,0.6,Debit Card
C1018,63,Male,Rural,Premium,1480,4,Cameras,4.4,6.2,Credit Card
C1019,44,Female,Suburban,Regular,740,3,Wearables,4.3,2.5,Credit Card
C1020,26,Male,Urban,New,290,1,Audio,3.9,0.4,PayPal
C1021,39,Female,Suburban,Regular,680,2,Smartphones,4.2,2.1,Credit Card
C1022,52,Male,Rural,Premium,1190,4,Smart Home,4.6,4.3,Credit Card
C1023,23,Female,Urban,New,270,1,Accessories,3.7,0.3,Debit Card
C1024,58,Male,Suburban,Premium,1380,5,Laptops,4.8,5.4,Credit Card
C1025,34,Female,Urban,Regular,610,2,Tablets,4.0,1.7,PayPal
C1026,47,Male,Suburban,Premium,1040,4,Gaming,4.7,3.5,Credit Card
C1027,28,Female,Urban,New,330,1,Wearables,4.1,0.6,Debit Card
C1028,61,Male,Rural,Premium,1320,4,Cameras,4.5,5.9,Credit Card
C1029,40,Female,Suburban,Regular,730,3,Smartphones,4.3,2.2,Credit Card
C1030,25,Male,Urban,New,300,1,Audio,3.8,0.4,PayPal
C1031,37,Female,Suburban,Regular,690,3,Tablets,4.2,2.0,Credit Card
C1032,50,Male,Rural,Premium,1150,4,Smart Home,4.6,4.1,Credit Card
C1033,24,Female,Urban,New,280,1,Accessories,3.9,0.4,Debit Card
C1034,59,Male,Suburban,Premium,1400,5,Laptops,4.8,5.6,Credit Card
C1035,35,Female,Urban,Regular,630,2,Smartphones,4.2,1.8,PayPal
C1036,46,Male,Suburban,Premium,1010,4,Gaming,4.5,3.3,Credit Card
C1037,27,Female,Urban,New,320,1,Wearables,4.0,0.5,Debit Card
C1038,62,Male,Rural,Premium,1360,4,Networking,4.4,6.0,Credit Card
C1039,43,Female,Suburban,Regular,750,3,Tablets,4.3,2.4,Credit Card
C1040,26,Male,Urban,New,310,1,Audio,3.9,0.5,PayPal
C1041,38,Female,Suburban,Regular,700,3,Smartphones,4.1,1.9,Credit Card
C1042,53,Male,Rural,Premium,1230,4,Smart Home,4.7,4.7,Credit Card
C1043,25,Female,Urban,New,290,1,Accessories,3.8,0.4,Debit Card
C1044,57,Male,Suburban,Premium,1340,5,Laptops,4.6,5.3,Credit Card
C1045,32,Female,Urban,Regular,580,2,Tablets,4.0,1.4,PayPal
C1046,45,Male,Suburban,Regular,860,3,Gaming,4.4,2.7,Credit Card
C1047,30,Female,Urban,New,350,1,Wearables,4.1,0.7,Debit Card
C1048,64,Male,Rural,Premium,1420,4,Cameras,4.5,6.5,Credit Card
C1049,41,Female,Suburban,Regular,710,3,Smartphones,4.2,2.3,Credit Card
C1050,27,Male,Urban,New,320,1,Audio,4.0,0.6,PayPal
